	XP_004038851.3	XP_003832390.1	BAG60658.1	XP_003265777.1	BAF47379.1	XP_031520350.1	XP_007997053.1	XP_007990725.1	XP_004064730.2	BAA04809.1	XP_005594386.3	XP_003262229.2	XP_003819736.1	XP_003918170.2	2N3Y_A	XP_008012095.1	XP_034805654.1	EHH57445.1	XP_030861652.1	XP_009191090.1	XP_030662293.1	XP_030666800.1	XP_009184116.1	XP_037840674.1	XP_014202872.1	XP_045239232.2	XP_055236303.1	8Y6F_A	XP_008002752.1	XP_004050475.2	AAA59179.1	XP_065383852.1	XP_003281399.1	XP_034787832.1	XP_003909425.2	NP_002273.3	XP_003831112.2	XP_030678475.1	XP_018893533.1	XP_005570980.3	XP_008001520.2	XP_003906457.1	AAC17185.1	XP_063556699.1	XP_034798266.3	XP_009187945.3	XP_030656388.1	XP_005582958.3	XP_037843238.1	XP_057156345.1	XP_004058559.3	XP_030656345.1	ABL09846.1	XP_008008385.1	XP_003912321.1	AAB91535.1
XP_030656388.1	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.77705	0.77705	0.7735000000000001	0.77705	0.77705	0.77705	0.77705	0.014970000000000039	0.011860000000000093	0.010849999999999915	0.015999999999999903	0.0	0.017039999999999944	0.017020000000000035	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_005582958.3	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.017039999999999944	0.01546000000000003	0.01651999999999998	0.005160000000000053	0.017039999999999944	0.0	0.009279999999999955	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_037843238.1	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.76166	0.76166	0.76166	0.76166	0.76166	0.76166	0.76166	0.017530000000000046	0.013919999999999932	0.015469999999999984	0.007219999999999893	0.017020000000000035	0.009279999999999955	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
XP_057156345.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0027200000000000557	0.021740000000000093	0.03260999999999992	0.04075999999999991	0.04347999999999996	0.04620000000000002
XP_004058559.3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0027200000000000557	0.0	0.02290000000000003	0.03308000000000011	0.040710000000000024	0.043259999999999965	0.04579999999999995
XP_030656345.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.69048	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.021740000000000093	0.02290000000000003	0.0	0.05088999999999999	0.040710000000000024	0.043259999999999965	0.04579999999999995
ABL09846.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03260999999999992	0.03308000000000011	0.05088999999999999	0.0	0.07125000000000004	0.07379000000000002	0.07633999999999996
XP_008008385.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.04075999999999991	0.040710000000000024	0.040710000000000024	0.07125000000000004	0.0	0.0025400000000000977	0.005090000000000039
XP_003912321.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.04347999999999996	0.043259999999999965	0.043259999999999965	0.07379000000000002	0.0025400000000000977	0.0	0.007630000000000026
AAB91535.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.04620000000000002	0.04579999999999995	0.04579999999999995	0.07633999999999996	0.005090000000000039	0.007630000000000026	0.0
