	albumin-gorilla_gorilla_gorilla	albumin-pan_paniscus	albumin-homo_sapiens	albumin-nomascus_leucogenys	albumin-macaca_fascicularis	albumin-papio_anubis	albumin-chlorocebus_sabaeus	collagen-chlorocebus_sabaeus	collagen-gorilla_gorilla_gorilla	collagen-homo_sapiens	collagen-macaca_fascicularis	collagen-nomascus_leucogenys	collagen-pan_paniscus	collagen-papio_anubis	cytochrome-homo_sapiens	cytochrome-chlorocebus_sabaeus	cytochrome-pan_paniscus	cytochrome-macaca_fascicularis	cytochrome-gorilla_gorilla_gorilla	cytochrome-papio_anubis	cytochrome-nomascus_leucogenys	ferritin-nomascus_leucogenys	ferritin-papio_anubis	ferritin-chlorocebus_sabaeus	ferritin-pan_paniscus	ferritin-macaca_fascicularis	ferritin-gorilla_gorilla_gorilla	ferritin-homo_sapiens	insulin-chlorocebus_sabaeus	insulin-gorilla_gorilla_gorilla	insulin-homo_sapiens	insulin-macaca_fascicularis	insulin-nomascus_leucogenys	insulin-pan_paniscus	insulin-papio_anubis	keratin-homo_sapiens	keratin-pan_paniscus	keratin-nomascus_leucogenys	keratin-gorilla_gorilla_gorilla	keratin-macaca_fascicularis	keratin-chlorocebus_sabaeus	keratin-papio_anubis	myosin-homo_sapiens	myosin-gorilla_gorilla_gorilla	myosin-pan_paniscus	myosin-papio_anubis	myosin-nomascus_leucogenys	myosin-macaca_fascicularis	myosin-chlorocebus_sabaeus	p53-pan_paniscus	p53-gorilla_gorilla_gorilla	p53-nomascus_leucogenys	p53-homo_sapiens	p53-chlorocebus_sabaeus	p53-papio_anubis	p53-macaca_fascicularis
myosin-papio_anubis	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.0159999999999999	0.0144299999999999	0.0154900000000001	0.0	0.0159999999999999	0.00516	0.0072199999999998	1.0	1.0	1.0	1.0	1.0	1.0	1.0
myosin-nomascus_leucogenys	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.77705	0.77705	0.7735000000000001	0.77705	0.77705	0.77705	0.77705	0.01497	0.01186	0.0108499999999999	0.0159999999999999	0.0	0.0170399999999999	0.01702	1.0	1.0	1.0	1.0	1.0	1.0	1.0
myosin-macaca_fascicularis	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.7735000000000001	0.0170399999999999	0.01546	0.0165199999999999	0.00516	0.0170399999999999	0.0	0.0092799999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0
myosin-chlorocebus_sabaeus	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	0.69388	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	1.0	0.65	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.76166	0.76166	0.76166	0.76166	0.76166	0.76166	0.76166	0.01753	0.0139199999999999	0.0154699999999999	0.0072199999999998	0.01702	0.0092799999999999	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
p53-pan_paniscus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.00272	0.02174	0.0326099999999999	0.0407599999999999	0.0434799999999999	0.0462
p53-gorilla_gorilla_gorilla	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00272	0.0	0.0229	0.0330800000000001	0.04071	0.0432599999999999	0.0457999999999999
p53-nomascus_leucogenys	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.69048	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.02174	0.0229	0.0	0.0508899999999999	0.04071	0.0432599999999999	0.0457999999999999
p53-homo_sapiens	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0326099999999999	0.0330800000000001	0.0508899999999999	0.0	0.07125	0.07379	0.0763399999999999
p53-chlorocebus_sabaeus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0407599999999999	0.04071	0.04071	0.07125	0.0	0.00254	0.00509
p53-papio_anubis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0434799999999999	0.0432599999999999	0.0432599999999999	0.07379	0.00254	0.0	0.00763
p53-macaca_fascicularis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0462	0.0457999999999999	0.0457999999999999	0.0763399999999999	0.00509	0.00763	0.0
